UPC,Original Description,Expanded Description
744845960234,"TRT BAKED APPL/BAN 3OZ","Treat BAKED APPL/BAN 3OZ"
744845967912,"HUT TMTHY SA MD","HUT TMTHY SA Medium"
744845968339,"FOOD ESSNTL FRRT 4#","FOOD ESSNTL Ferret 4#"
071859000022,"FOOD FDPH RBBT ADLT 5#","FOOD FDPH Rabbit Adult 5#"
071859000817,"TRT TMTHY HIDEOUT SM","Treat TMTHY HIDEOUT Small"
071859998718,"TRT TMTHY-P MARIGOLD 24Z","Treat TMTHY-P MARIGOLD 24Z"
644472002867,"TOY NIBBLE ICE CR CHW","Toy NIBBLE ICE CR Chew"
644472010527,"WHEEL HAM/MOUSE 4IN","WHEEL HAM/MOUSE 4IN"
045125605518,"CRITTERTRAIL ACCESS KIT 1","CRITTERTRAIL ACCESS KIT 1"
045125605525,"CRITTERTRAIL ACCESS KIT 2","CRITTERTRAIL ACCESS KIT 2"
045125611328,"CHEW KABOB ECONOMY LARGE","CHEW KABOB ECONOMY LARGE"
045125614145,"WHEEL SILENT SPINNER MD","WHEEL SILENT SPINNER Medium"
045125619102,"FDR HAY BUFFET W/LID","Feeder HAY BUFFET W/LID"
045125621433,"PTS LTTR PAN HICORNER FRRT","Pet Litter PAN HICORNER Ferret"
076484067082,"CLLR CT SAFE FSHN SKP 12","Collar Cat Safe FSHN SKP 12"
076484067099,"CLLR CT SAFE FSHN SKZ 12","Collar Cat Safe FSHN SKZ 12"
076484067532,"CLLR CT SAFE FSHN WDF 12","Collar Cat Safe FSHN WDF 12"
076484670718,"CLLR CT SAFE EMB FHSN PK12","Collar Cat Safe EMB FHSN PK12"
076484670725,"CLLR CT SAFE EMB FHSN RD12","Collar Cat Safe EMB FHSN RD12"
076484672200,"CLLR KTTN LP BRKW CBB 8","Collar Kitten Loop BRKW CBB 8"
076484672262,"CLLR KTTN LP BRKW RMC 8","Collar Kitten Loop BRKW RMC 8"
076484672279,"CLLR KTTN LP BRKW SKR 8","Collar Kitten Loop BRKW SKR 8"
076484761010,"CLLR CT SAFE CONSTLLN 8-12","Collar Cat Safe CONSTLLN 8-12"
076484761058,"CLLR CT SAFE CHTH PK8-12IN","Collar Cat Safe Cheetah PK8-12IN"
879213009007,"CARRIER COMFT SM BK/BR","CARRIER Comfort Small BK/BR"
879213009106,"CARRIER COMFT SM TP","CARRIER Comfort Small Taupe"
879213009137,"CARRIER COMFT SM BERMUDA","CARRIER Comfort Small BERMUDA"
879213009175,"CARRIER COMFT SM BRY","CARRIER Comfort Small Berry"
879213009199,"CARRIER COMFT LG TP","CARRIER Comfort Large Taupe"
879213009205,"CARRIER COMFT LG BERMUDA","CARRIER Comfort Large BERMUDA"
879213009212,"CARRIER COMFT LG BRY","CARRIER Comfort Large Berry"
076484513091,"COMB W6162 FLEA PLSTC 100","COMB W6162 FLEA Plastic 100"
076484946400,"BRUSH SLKR FIRM MD","BRUSH Slicker FIRM Medium"
317163011065,"API COND AQUARIUM SALT 16OZ","API Conditioner AQUARIUM SALT 16OZ"
042055032117,"HIK FOOD CCHLD STPL MINI 2OZ","Hikari FOOD Cichlid STPL Mini 2OZ"
042055034289,"HIK FOOD CCHLD STPL LG 8.8OZ","Hikari FOOD Cichlid STPL Large 8.8OZ"
042055213073,"HIK FOOD ALGAE WFRS 40GM","Hikari FOOD Algae WFRS 40GM"
042055213288,"HIK FOOD ALGAE WFRS 250GM","Hikari FOOD Algae WFRS 250GM"
042055301206,"HIK FOOD FRZN BLDWRM CB 3.5OZ","Hikari FOOD FRZN BLDWRM CB 3.5OZ"
042055323208,"HIK FOOD FRZN BRINE CB 3.5OZ","Hikari FOOD FRZN BRINE CB 3.5OZ"
042055324403,"HIK FOOD FRZN BRINE FP 16OZ","Hikari FOOD FRZN BRINE FP 16OZ"
042055325509,"FOOD FRZN SPIR MYSIS 3.5Z","FOOD FRZN SPIR MYSIS 3.5Z"
042055332019,"HIK FOOD FD BLDWRMS .42OZ","Hikari FOOD FD BLDWRMS .42OZ"
029904109619,"BIO ACTIV BETTA SOLUTION","BIO ACTIV BETTA SOLUTION"
000116012607,"COND STABILITY 250ML","Conditioner STABILITY 250ML"
000116052603,"COND STRESSGUARD 250ML","Conditioner STRESSGUARD 250ML"
000116060608,"SLI MED PARAGUARD 250ML","Seachem Medicine PARAGUARD 250ML"
046798163503,"TET FOOD TETRACCHLD STK 11OZ","Tetra FOOD TETRACCHLD STK 11OZ"
618940312000,"PERCH SAND SM","PERCH SAND Small"
618940313083,"FRD WTR BIRD CUP SM","FRD Water BIRD CUP Small"
762177786001,"FOOD PRRT FRT BREEDER 40#","FOOD PRRT FRT BREEDER 40#"
645095869042,"SHMP CT WTRLSS DEEP CLN7.4","Shampoo Cat WTRLSS DEEP CLN7.4"
077234027721,"TOY 100% CTNP CRAVERS 2PK","Toy 100% CTNP CRAVERS 2PK"
686960000887,"TRT FRTBL APL/BCN 12OZ","Treat FRTBL APL/BCN 12OZ"
797801035613,"RMDY CRNBRRY RELIEF 50G","RMDY CRNBRRY RELIEF 50G"
045663976460,"SHMP MC PUP TEARLESS 16OZ","Shampoo MC Puppy TEARLESS 16OZ"
